Date:  14:13, Friday, November 04, 2022
Model name: 3DhoneyAssem
Study name: StarHoneycomb(-Default-)
Plot type: Static displacement Displacement2
Result Type: UY 


Node  ,Value (mm)  ,X (mm)  ,Y (mm)  ,Z (mm)  ,Components
2676  ,1.225e+00  ,164.70796204  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
2677  ,1.230e+00  ,164.68313599  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
2683  ,1.411e+00  ,184.86653137  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
2684  ,3.673e-01  ,178.66299438  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
2685  ,3.523e-01  ,178.64283752  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
2784  ,1.229e+00  ,14.95709038  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
2785  ,1.302e+00  ,10.51482201  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
2786  ,1.301e+00  ,10.48690414  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
2848  ,-2.269e-04  ,-17.31415749  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
2849  ,-5.589e-04  ,-14.62303638  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
2850  ,-1.120e-04  ,-17.30887604  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
2903  ,1.820e-01  ,217.39128113  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
2960  ,1.476e-01  ,203.01747131  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
2961  ,1.730e-01  ,205.63935852  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
2969  ,-7.528e-01  ,197.19195557  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
3039  ,1.411e-01  ,210.21717834  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
3040  ,1.370e-01  ,207.91503906  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
3041  ,1.410e-01  ,207.91311646  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
3311  ,1.560e-01  ,220.00000000  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
3325  ,1.409e-01  ,212.49696350  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
3368  ,-1.224e-01  ,75.21078491  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
3369  ,9.637e-01  ,83.34471130  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
3485  ,-1.124e+00  ,193.98825073  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
3486  ,-7.579e-01  ,197.19163513  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
3487  ,-7.539e-01  ,197.19122314  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
3490  ,-5.260e-03  ,-7.60436344  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
3491  ,-1.233e-04  ,-7.60270834  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
3493  ,-5.455e-03  ,-7.60242939  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
3494  ,-7.343e-03  ,-5.30853939  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
3496  ,3.308e-01  ,178.61802673  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
3552  ,1.664e-01  ,202.97288513  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
3553  ,2.140e-01  ,200.33441162  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
3554  ,1.613e-01  ,202.96659851  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
3588  ,-1.059e+00  ,84.23439026  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
3593  ,-1.090e+00  ,108.74272156  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
3608  ,1.666e-01  ,207.93928528  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
3700  ,-2.897e-02  ,-2.66407037  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
3733  ,1.070e+00  ,197.08854675  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
3734  ,1.401e+00  ,193.83740234  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
3735  ,1.078e+00  ,197.07698059  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
3804  ,1.495e-01  ,205.60803223  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
3938  ,-8.961e-01  ,157.74656677  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
3939  ,-9.559e-01  ,165.37126160  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
3940  ,-9.665e-01  ,165.36569214  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
4002  ,9.756e-01  ,42.51386642  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
4004  ,1.389e-04  ,-17.41959000  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
4005  ,1.721e-04  ,-17.41959000  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
4006  ,2.583e-05  ,-20.00000000  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
4062  ,-7.891e-01  ,116.91606140  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
4106  ,-7.893e-01  ,43.40425491  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
4107  ,-2.977e-02  ,51.57165909  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
4108  ,-1.348e-03  ,51.56478119  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
4117  ,-5.720e-01  ,67.91277313  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
4164  ,2.281e-01  ,21.09057045  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
4165  ,2.268e-01  ,21.06265259  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
4250  ,9.505e-01  ,2.81352663  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
4264  ,-1.198e-03  ,-12.26328564  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
4296  ,1.487e+00  ,189.35626221  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
4297  ,1.486e+00  ,189.33609009  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
4303  ,1.007e+00  ,156.95309448  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
4304  ,1.363e-01  ,148.80422974  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
4305  ,1.417e-01  ,148.78073120  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
4311  ,-1.752e-04  ,-20.00000000  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
4319  ,-1.448e-07  ,-17.41434860  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
4320  ,3.176e-04  ,-14.83393860  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
4340  ,-7.832e-01  ,116.91013336  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
4341  ,-7.792e-01  ,116.90400696  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
4436  ,9.483e-02  ,200.39492798  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
4437  ,1.618e-01  ,203.01681519  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
4445  ,8.446e-01  ,67.08060455  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
4479  ,-1.164e+00  ,189.58613586  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
4480  ,-1.160e+00  ,189.58654785  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
4493  ,-1.066e-01  ,179.08938599  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
4494  ,-8.732e-02  ,179.08692932  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
4507  ,-4.207e-02  ,51.57834625  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
4509  ,-1.098e+00  ,35.71331406  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
4552  ,-9.885e-01  ,3.24934101  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
4554  ,1.280e+00  ,6.03557205  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
4555  ,1.306e+00  ,10.47784042  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
4573  ,-1.102e+00  ,185.18394470  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
4574  ,-1.161e+00  ,189.58563232  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
4576  ,-1.209e-01  ,179.08988953  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
4583  ,1.481e-01  ,217.38874817  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
4693  ,-4.699e-05  ,-12.55450821  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
4703  ,5.955e-02  ,99.73535156  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
4706  ,1.147e+00  ,116.08380890  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
4715  ,1.492e+00  ,189.36782837  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
4716  ,1.053e+00  ,197.09483337  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
4755  ,6.204e-02  ,100.58163452  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
4783  ,1.478e-01  ,149.57934570  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
4784  ,1.404e-01  ,149.58491516  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
4798  ,1.431e-01  ,217.38874817  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
4799  ,1.441e-01  ,214.77615356  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
4800  ,1.595e-01  ,217.38742065  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
4862  ,1.668e-01  ,220.00000000  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
4883  ,-3.518e-02  ,50.64031601  ,-0.00000000  ,0.00000000  ,AirfoilBacking-1
4907  ,1.177e+00  ,107.90771484  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
4908  ,6.525e-02  ,99.77005768  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
